Engineering strain,Tensile stress (GPa),sample
0.222,-1.6886278768088672,W1_joint_300K
0.22275,-1.9881396891170364,W1_joint_300K
0.2235,-1.861292913362678,W1_joint_300K
0.22425,-1.3385448745532331,W1_joint_300K
0.225,-0.5727379290272852,W1_joint_300K
0.22575,0.2909017666827988,W1_joint_300K
0.2265,1.0489352866665107,W1_joint_300K
0.22725,1.6033046960593431,W1_joint_300K
0.228,1.855954793881264,W1_joint_300K
0.22875,1.776377172796789,W1_joint_300K
0.2295,1.3952942321088293,W1_joint_300K
0.23025,0.7618074917864478,W1_joint_300K
0.231,-0.04193523863487414,W1_joint_300K
0.23175,-0.8346374917872902,W1_joint_300K
0.2325,-1.4590243019611753,W1_joint_300K
0.23325,-1.79948736618433,W1_joint_300K
0.234,-1.7483242359548274,W1_joint_300K
0.23475,-1.328542968575247,W1_joint_300K
0.2355,-0.6627432788821291,W1_joint_300K
0.23625,0.11150534020485688,W1_joint_300K
0.237,0.8353203763571428,W1_joint_300K
0.23775,1.370372358362188,W1_joint_300K
0.2385,1.6566621457460198,W1_joint_300K
0.23925,1.6269571023995701,W1_joint_300K
0.24,1.324583633150206,W1_joint_300K
0.24075,0.7749625238256214,W1_joint_300K
0.2415,0.06423037746757329,W1_joint_300K
0.24225,-0.6811898624731487,W1_joint_300K
0.243,-1.2713593083895731,W1_joint_300K
0.24375,-1.607428824914169,W1_joint_300K
0.2445,-1.6102356707880894,W1_joint_300K
0.24525,-1.2522827943665928,W1_joint_300K
0.246,-0.6624795367402767,W1_joint_300K
0.24675,0.051564913849151316,W1_joint_300K
0.2475,0.7241949474006952,W1_joint_300K
0.24825,1.2351270190575026,W1_joint_300K
0.249,1.4799451463889781,W1_joint_300K
0.24975,1.4726712726736726,W1_joint_300K
0.2505,1.195737798742447,W1_joint_300K
0.25125,0.7048943753245064,W1_joint_300K
0.252,0.07238915972409052,W1_joint_300K
0.25275,-0.5707300211868375,W1_joint_300K
0.2535,-1.1081197305843422,W1_joint_300K
0.25425,-1.4389654270232946,W1_joint_300K
