# Time-averaged data for fix rdf300out
# TimeStep Number-of-rows
# Row c_rdf300[1] c_rdf300[2] c_rdf300[3] c_rdf300[4] c_rdf300[5] c_rdf300[6] c_rdf300[7] c_rdf300[8] c_rdf300[9] c_rdf300[10] c_rdf300[11] c_rdf300[12] c_rdf300[13] c_rdf300[14] c_rdf300[15] c_rdf300[16] c_rdf300[17] c_rdf300[18] c_rdf300[19] c_rdf300[20] c_rdf300[21]
10000 200
96 2.865 2.6398 10.3109 2.30503 1.14924 0.173004 0.0583165 1.83249 0.137338 1.40697 0.221469 2.30895 0.0517801 0.0779258 0.0525974 0.619307 0.0778351 0.126332 0.0208202 2.73853 0.0931507
97 2.895 2.23316 10.8451 1.97472 1.20167 0.206122 0.0588426 1.62233 0.142764 1.37135 0.228964 1.89531 0.0541655 0.178179 0.0530519 1.00927 0.0804124 0.370568 0.0217666 1.07279 0.0958904
98 2.925 1.74333 11.2709 1.5534 1.24378 0.282063 0.0595777 1.46249 0.147759 1.26064 0.235997 1.79461 0.0564716 0.273958 0.0537662 0 0.0804124 0.484057 0.0230284 1.57574 0.1
99 2.955 1.23771 11.5794 1.09692 1.27413 0.471605 0.0608317 1.22834 0.152039 1.04402 0.241943 1.30242 0.0581796 0.195563 0.0542857 0.581618 0.0819588 0.712697 0.0249211 0 0.1
100 2.985 0.830378 11.7906 0.809704 1.29699 0.632187 0.0625468 1.06575 0.15583 0.979623 0.247636 1.0609 0.0595993 0.478657 0.0555844 0.380206 0.0829897 1.39552 0.0287066 1.51539 0.10411
101 3.015 0.515008 11.9243 0.535209 1.3124 0.877439 0.0649755 0.778622 0.158655 0.791329 0.252328 0.77607 0.0606587 0.679859 0.0574675 1.67735 0.0876289 1.9389 0.0340694 1.48644 0.108219
102 3.045 0.313658 12.0073 0.330907 1.32212 1.04915 0.0679374 0.603628 0.160889 0.663687 0.256342 0.636584 0.0615451 0.758863 0.0596104 0.5471 0.0891753 1.45319 0.0381703 1.93979 0.113699
103 3.075 0.180166 12.0559 0.209497 1.3284 1.30898 0.0717065 0.492618 0.162749 0.553918 0.259758 0.390661 0.0621 0.947439 0.0623377 0.89457 0.0917526 2.08154 0.044164 2.85504 0.121918
104 3.105 0.107255 12.0854 0.138005 1.33262 1.61041 0.0764341 0.404499 0.164305 0.44243 0.26254 0.258754 0.0624748 1.37105 0.0663636 0.877435 0.0943299 3.11473 0.0533123 3.26479 0.131507
105 3.135 0.0600061 12.1023 0.0916333 1.33547 1.91674 0.0821707 0.314082 0.165538 0.324872 0.264622 0.190449 0.0627558 1.60523 0.0711688 0.68941 0.0963918 2.63587 0.0611987 2.74728 0.139726
106 3.165 0.0344756 12.1121 0.0701568 1.3377 2.12172 0.0886423 0.230658 0.16646 0.272462 0.266402 0.119711 0.062936 1.91617 0.077013 1.01543 0.0994845 1.96548 0.0671924 0.897442 0.142466
107 3.195 0.0208212 12.1182 0.041221 1.33903 2.13759 0.0952868 0.194555 0.167253 0.277088 0.268247 0.0799449 0.0630585 1.98465 0.0831818 1.4928 0.104124 1.52178 0.0719243 1.32191 0.146575
108 3.225 0.0134001 12.1222 0.0297402 1.34001 2.13896 0.102061 0.152716 0.167887 0.211427 0.269681 0.0599848 0.0631522 2.00961 0.0895455 1.46418 0.108763 2.58944 0.0801262 0.863979 0.149315
109 3.255 0.00924464 12.125 0.0227538 1.34078 2.05277 0.108684 0.121029 0.168399 0.148095 0.270705 0.0271862 0.0631954 2.27422 0.0968831 1.91697 0.114948 2.34655 0.0876972 2.54745 0.157534
110 3.285 0.0058945 12.1268 0.0160147 1.34132 1.99152 0.115228 0.08533 0.168766 0.15049 0.271764 0.0177734 0.0632243 2.49021 0.105065 1.09715 0.118557 2.11205 0.0946372 1.66858 0.163014
111 3.315 0.00454744 12.1282 0.0149063 1.34184 1.6304 0.120683 0.0969239 0.169191 0.118648 0.272615 0.0131 0.0632459 1.97937 0.111688 0.770958 0.121134 3.58168 0.106625 0.409493 0.164384
112 3.345 0.00437574 12.1296 0.0140278 1.34234 1.30294 0.125123 0.0742028 0.169523 0.113544 0.273443 0.0128574 0.0632675 1.6963 0.117468 1.21078 0.125258 2.2218 0.114196 0 0.164384
113 3.375 0.00319115 12.1307 0.010179 1.34271 1.23849 0.129418 0.0744652 0.169862 0.0979768 0.274171 0.00841264 0.0632819 1.59162 0.122987 1.18785 0.129381 2.27431 0.122082 0.395317 0.165753
114 3.405 0.00357067 12.1318 0.00961278 1.34306 1.19217 0.133626 0.0731988 0.1702 0.100029 0.274928 0 0.0632819 1.15921 0.127078 0.730427 0.131959 2.94715 0.132492 1.16537 0.169863
115 3.435 0.00410728 12.1332 0.00982729 1.34343 1.21959 0.138008 0.0596514 0.170481 0.127367 0.275908 0.0284307 0.0633324 1.53659 0.132597 1.1472 0.136082 1.93102 0.139432 0.381382 0.171233
116 3.465 0.00395258 12.1346 0.0107989 1.34384 1.34837 0.142937 0.0842196 0.170885 0.114993 0.276809 0.0119876 0.063354 1.54538 0.138247 1.55162 0.141753 1.38021 0.144479 0.749125 0.173973
117 3.495 0.007066 12.137 0.0128466 1.34434 1.63532 0.14902 0.0857425 0.171303 0.157387 0.278063 0.027492 0.0634044 1.76343 0.144805 1.80237 0.148454 2.5453 0.153943 0.3684 0.175342
118 3.525 0.0104417 12.1407 0.0201335 1.34513 1.80568 0.155852 0.0901002 0.17175 0.163623 0.279389 0.0463258 0.0634909 1.85321 0.151818 1.635 0.154639 1.58409 0.159937 1.08548 0.179452
119 3.555 0.0152209 12.1462 0.0295123 1.34631 1.85591 0.162994 0.111409 0.172312 0.182698 0.280895 0.0341513 0.0635558 2.24457 0.160455 2.27674 0.163402 2.21357 0.168454 2.49066 0.189041
120 3.585 0.0214866 12.1541 0.0391098 1.3479 1.88755 0.170381 0.161467 0.173141 0.242441 0.282927 0.0709355 0.0636927 1.99097 0.168247 1.05438 0.167526 2.09537 0.176656 3.15248 0.20137
121 3.615 0.0292844 12.165 0.0600437 1.35039 1.79295 0.177515 0.150559 0.173926 0.267999 0.285212 0.0770983 0.063844 2.17035 0.176883 2.33177 0.176804 1.82291 0.183912 2.40815 0.210959
122 3.645 0.0372004 12.1792 0.0746268 1.35353 1.53912 0.183742 0.169832 0.174827 0.324301 0.288022 0.0902882 0.0640242 1.82968 0.184286 2.42006 0.186598 1.48111 0.189905 2.03285 0.219178
123 3.675 0.0467671 12.1972 0.0978403 1.35772 1.21796 0.18875 0.225917 0.176045 0.405729 0.291597 0.152748 0.0643341 1.76813 0.191558 1.50394 0.192784 1.3808 0.195584 1.99877 0.227397
124 3.705 0.0700584 12.2246 0.127245 1.36325 0.97932 0.192844 0.327447 0.177839 0.449146 0.295618 0.174749 0.0646944 1.14978 0.196364 0.986341 0.196907 1.35854 0.201262 2.29269 0.236986
125 3.735 0.1089 12.268 0.189425 1.37163 0.697273 0.195806 0.380463 0.179958 0.571799 0.300822 0.220128 0.0651557 0.840744 0.199935 0.727492 0.2 1.11396 0.205994 0.644276 0.239726
126 3.765 0.168212 12.3361 0.287667 1.38455 0.524217 0.198069 0.463605 0.182581 0.631372 0.306659 0.287662 0.0657682 0.827551 0.203506 1.19457 0.205155 0.94967 0.210095 0.634065 0.242466
127 3.795 0.268903 12.4467 0.405059 1.40303 0.386194 0.199762 0.616721 0.186127 0.70203 0.313253 0.416421 0.0666691 0.592431 0.206104 1.88059 0.213402 0.718848 0.213249 0.313526 0.243836
128 3.825 0.436426 12.6289 0.57377 1.42963 0.22968 0.200786 0.735444 0.190422 0.821669 0.321094 0.593714 0.0679735 0.349709 0.207662 0.694472 0.216495 0.708128 0.216404 0.614866 0.246575
129 3.855 0.705411 12.9282 0.838256 1.4691 0.175241 0.201578 0.854099 0.195489 0.979246 0.330585 0.723158 0.0695878 0.301585 0.209026 0.341677 0.218041 1.0455 0.221136 0.302332 0.247945
130 3.885 1.06735 13.3881 1.19288 1.52615 0.114484 0.202104 1.07421 0.20196 1.0996 0.34141 1.01094 0.0718795 0.183711 0.20987 0.897218 0.222165 1.37225 0.227445 0 0.247945
