# Time-averaged data for fix rdffinalout
# TimeStep Number-of-rows
# Row c_rdffinal[1] c_rdffinal[2] c_rdffinal[3] c_rdffinal[4] c_rdffinal[5] c_rdffinal[6] c_rdffinal[7] c_rdffinal[8] c_rdffinal[9] c_rdffinal[10] c_rdffinal[11] c_rdffinal[12] c_rdffinal[13] c_rdffinal[14] c_rdffinal[15] c_rdffinal[16] c_rdffinal[17] c_rdffinal[18] c_rdffinal[19] c_rdffinal[20] c_rdffinal[21]
760000 200
122 3.645 0.310861 12.8136 0.476715 0.880621 1.14628 0.131104 0.702733 0.146995 0.6727 0.268896 0.387965 0.0328481 1.234 0.0651299 1.34181 0.824742 5.83055 0.5653 2.13945 1.41233
123 3.675 0.343054 12.9391 0.496981 0.900814 1.07969 0.13532 0.711019 0.150634 0.803056 0.275613 0.38913 0.0335976 1.347 0.0703896 2.77217 0.835567 5.73575 0.587697 1.05258 1.41644
124 3.705 0.381447 13.0811 0.514796 0.922074 0.996867 0.139276 0.79793 0.154785 0.7723 0.282178 0.382867 0.0343471 1.21071 0.0751948 2.46787 0.845361 6.51781 0.613565 2.41658 1.42603
125 3.735 0.425773 13.2421 0.520296 0.94391 0.955929 0.143132 0.80969 0.159066 0.801664 0.289103 0.449182 0.0352407 1.46509 0.0811039 2.30031 0.854639 4.69234 0.632492 2.03792 1.43425
126 3.765 0.473069 13.4238 0.554795 0.96757 0.946007 0.147009 0.790104 0.163311 0.820962 0.29631 0.434931 0.0361199 1.50519 0.0872727 1.50911 0.860825 4.772 0.65205 3.34181 1.44795
127 3.795 0.529273 13.6305 0.574328 0.992455 0.957086 0.150995 0.850302 0.167952 0.83874 0.303791 0.52632 0.0372009 1.55943 0.0937662 1.48538 0.86701 4.69705 0.671609 4.27692 1.46575
128 3.825 0.59224 13.8653 0.599576 1.01885 0.911468 0.15485 0.840902 0.172615 0.842331 0.311423 0.556079 0.0383612 1.88809 0.101753 1.21866 0.872165 4.02698 0.688644 4.85743 1.4863
129 3.855 0.674336 14.137 0.621712 1.04664 0.885589 0.158655 0.939193 0.177904 0.902882 0.319732 0.567905 0.0395647 1.63218 0.108766 1.43978 0.878351 4.77222 0.709148 5.41967 1.50959
130 3.885 0.748589 14.4432 0.661824 1.07669 0.908288 0.162619 0.917181 0.183151 0.867398 0.327839 0.602683 0.0408619 1.8451 0.116818 0.945052 0.882474 6.57816 0.737855 3.45283 1.52466
131 3.915 0.839329 14.7919 0.701891 1.10906 0.957853 0.166864 0.911865 0.188448 0.889845 0.336286 0.646219 0.0422744 1.72901 0.124481 2.32644 0.892784 4.84065 0.759306 5.25618 1.54795
132 3.945 0.93164 15.1849 0.734972 1.14347 0.95137 0.171144 0.90419 0.193781 0.911508 0.345071 0.6267 0.0436653 1.64515 0.131883 1.71832 0.900515 4.13627 0.777918 2.73995 1.56027
133 3.975 1.03512 15.6283 0.75059 1.17915 0.978058 0.175613 0.932702 0.199366 0.955985 0.354425 0.578876 0.0449697 1.71993 0.13974 2.14351 0.910309 5.24808 0.801893 2.39866 1.57123
